asset_id	family	role	status	source_reference	server_source_path	observed_size_bytes	public_contents	use_note
clinvar_variant_summary	ESM2+AMPLIFY	raw variant annotation	external	NCBI ClinVar variant_summary.txt.gz	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/clinvar/variant_summary.txt.gz	439962524	metadata only	Resolve and filter ClinVar-style pathogenicity rows locally.
uniprot_sprot_human	ESM2+AMPLIFY	raw protein annotation	external	UniProt Swiss-Prot human release	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/uniprot/uniprot_sprot_human.dat.gz	119315692	metadata only	Canonical protein mapping and sequence resolution.
uniprot_human_fasta	ESM2+AMPLIFY	raw protein sequences	external	UniProt human reference proteome	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/uniprot/UP000005640_9606.fasta.gz	7752225	metadata only	Sequence-backed embedding extraction; keep outside Git.
reactome_pathways	ESM2+AMPLIFY	pathway annotation	external	Reactome pathway tables	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/reactome/ReactomePathways.txt	1592393	metadata only	Pathway node and hierarchy construction.
reactome_relations	ESM2+AMPLIFY	pathway relations	external	Reactome pathway relation table	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/reactome/ReactomePathwaysRelation.txt	634259	metadata only	Pathway hierarchy edges.
uniprot_reactome_mapping	ESM2+AMPLIFY	protein-pathway mapping	external	UniProt-to-Reactome mapping	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/reactome/UniProt2Reactome_All_Levels.txt	117823518	metadata only	Protein-pathway graph construction.
disease_ontology	ESM2+AMPLIFY	disease ontology	external	Disease Ontology OBO release	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/doid/doid.obo	7162791	metadata only	Disease node normalization.
ptmd2_phosphorylation	ESM2+AMPLIFY	PTM annotation	external	PTMD2 phosphorylation archive	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/ptmd/Phosphorylation.zip	2902073	metadata only	PTM context and mutation–PTM task preparation.
ptmd2_acetylation	ESM2+AMPLIFY	PTM annotation	external	PTMD2 acetylation archive	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/ptmd/Acetylation.zip	289805	metadata only	PTM context and mutation–PTM task preparation.
ptmd2_ubiquitination	ESM2+AMPLIFY	PTM annotation	external	PTMD2 ubiquitination archive	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/data_raw/ptmd/Ubiquitination.zip	1391723	metadata only	PTM context and mutation–PTM task preparation.
graph_embeddings_64d	ESM2+AMPLIFY	graph node representations	external	Project pretrain_core_h64_v1 asset manifest	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/work/pretrain_core_h64_v1/embeddings/{node_type}_embeddings.npy	varies	metadata only	Five node types: disease, mutation, protein, ptm, pathway; 64 features each.
graph_node_mapping	ESM2+AMPLIFY	node alignment	external	Project pretrain_core_h64_v1 asset manifest	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/work/pretrain_core_h64_v1/embeddings/node_id_mapping.tsv	45689247	metadata only	Align graph rows with node identifiers.
esm2_fixed_embeddings_640d	ESM2	sequence representations	external	Project esm2_only_v1 asset manifest	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/work/esm2_only_v1/core_embeddings/{node_type}_esm2_embeddings.npy	varies	metadata only	Fixed 640-dimensional ESM-2 representations and validity masks.
graph_relation_edges	ESM2+AMPLIFY	heterogeneous graph edges	external	Project strict_graph asset set	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/work/model_benchmark_v5/esm2_five_downstreams/disease_mutation_ranking/strict_graph/standard/graph_core/edges/*.tsv.gz	varies	metadata only	Use the six audited forward relations and preserve index bounds.
amplify_120m_backbone	AMPLIFY-120M	frozen sequence backbone	external	Upstream AMPLIFY-120M model card	upstream model registry; server checkpoint path not captured in local archive	varies	metadata only	P3 uses a separate frozen backbone and a 64->640 graph projection.
ppi_benchmarks	AMPLIFY-120M	PPI benchmark annotations	external	IntAct and SKEMPI-derived benchmark assets	/root/autodl-tmp/bio/disease_mutation_ptm_gcl/ (task-specific benchmark subtrees)	varies	metadata only	Obtain from the corresponding upstream sources and retain their licenses.
clinvar_pathogenicity_schema	ESM2	schema	included	GraphResidual public release	data/schemas/clinvar_pathogenicity.schema.tsv	header only	header only	Parser contract with no biological rows.
synthetic_parser_fixture	ESM2	smoke-test example	included	GraphResidual public release	data/examples/clinvar_pathogenicity.synthetic.tsv	3 rows	synthetic rows	Parser smoke test only; not a scientific dataset.
