protocol	coverage_group	method	n_query	mrr	ndcg10
pair_disjoint	FULL	C1	18846	0.1399608619078673	0.1492521544572829
pair_disjoint	FULL	F3	18846	0.1660246441381945	0.1884510457414157
pair_disjoint	PARTIAL_MULTI	C1	8442	0.138791031704866	0.1521888507106972
pair_disjoint	PARTIAL_MULTI	F3	8442	0.1385082728783793	0.15991682148572
protein_disjoint	FULL	C1	2745	0.0842347311038101	0.0872323847936287
protein_disjoint	FULL	F3	2745	0.0750848042892969	0.076794671188309
protein_disjoint	PARTIAL_MULTI	C1	1440	0.0882356030916928	0.0942133212491385
protein_disjoint	PARTIAL_MULTI	F3	1440	0.0652740278429311	0.0666459611859594
sequence_cluster_disjoint	FULL	C1	2988	0.0795759437857518	0.0814282317532623
sequence_cluster_disjoint	FULL	F3	2988	0.0841161749964637	0.0888211528860225
sequence_cluster_disjoint	PARTIAL_MULTI	C1	1317	0.1016733806196275	0.1085984929783653
sequence_cluster_disjoint	PARTIAL_MULTI	F3	1317	0.0808193391151738	0.0861176273300233
