protocol	degree_bin	method	n_query	mrr	ndcg10	pairwise_accuracy
pair_disjoint	D1	C1	1722	0.1555215795960842	0.1699011517038591	0.6877251023592488
pair_disjoint	D1	F3	1722	0.1606194438447108	0.186917077118584	0.7194828658243292
pair_disjoint	D2	C1	4641	0.1469718635731975	0.163177831848416	0.6912047980475352
pair_disjoint	D2	F3	4641	0.1561259525986676	0.1768554602190076	0.7111554356452315
pair_disjoint	D3	C1	9360	0.13527941853787	0.1454764290523775	0.6742715617715618
pair_disjoint	D3	F3	9360	0.1571946978229847	0.1805081454340456	0.7201297159630493
pair_disjoint	D4	C1	11565	0.1377653572629499	0.1457887508714969	0.6692305676741475
pair_disjoint	D4	F3	11565	0.1578623158783871	0.1789323455328911	0.713498146182971
protein_disjoint	D1	C1	249	0.0981905195689479	0.1175895316013445	0.6193257880004868
protein_disjoint	D1	F3	249	0.0896909464195378	0.0979425684409178	0.6078049572025476
protein_disjoint	D2	C1	732	0.1045196219037228	0.112212597652865	0.6267731964453276
protein_disjoint	D2	F3	732	0.0605377959818056	0.0641582602228524	0.5449025776894629
protein_disjoint	D3	C1	1287	0.0828157831308541	0.0887431161658205	0.5969092635759302
protein_disjoint	D3	F3	1287	0.0704242736964115	0.0712834543757531	0.5303069545493788
protein_disjoint	D4	C1	1917	0.0786342669986407	0.0779803200319391	0.5731387953610175
protein_disjoint	D4	F3	1917	0.074501635526089	0.0749495068926338	0.5315333828635863
sequence_cluster_disjoint	D1	C1	294	0.121584166313406	0.1260345927866425	0.6393870679584965
sequence_cluster_disjoint	D1	F3	294	0.089971398042145	0.0880405672016047	0.5515701229986945
sequence_cluster_disjoint	D2	C1	759	0.1168639006086604	0.1217593152138792	0.6705896316285926
sequence_cluster_disjoint	D2	F3	759	0.0784806609687616	0.0819632088875443	0.5367434393408419
sequence_cluster_disjoint	D3	C1	1557	0.0868112365653132	0.0945254098002242	0.6400550138507749
sequence_cluster_disjoint	D3	F3	1557	0.0841454052662645	0.0885823053648239	0.5549651946569095
sequence_cluster_disjoint	D4	C1	1695	0.06611576490712	0.0647116331243059	0.6021453472780907
sequence_cluster_disjoint	D4	F3	1695	0.0830356293834	0.0901462349623168	0.5769673132504991
